order_date,revenue_generated,trend
2024-02-29,33467.482909392194,25714.24885637498
2024-03-31,29351.797480795907,25659.61286839626
2024-04-30,28982.10669398807,25604.97688041754
2024-05-31,23889.954693495394,25550.340892438824
2024-06-30,17768.575978199842,25495.704904460104
2024-07-31,11249.175437567657,25441.068916481385
2024-08-31,14940.348241184587,25386.432928502665
2024-09-30,29544.16250286264,25331.796940523946
2024-10-31,23783.25973324358,25277.16095254523
2024-11-30,41243.62947176442,25222.52496456651
2024-12-31,35200.98107122002,25167.88897658779
2025-01-31,13912.498596187901,25113.25298860907
2025-02-28,33622.58437625851,25058.61700063035
2025-03-31,0.0,25003.98101265163
2025-04-30,12381.330888390752,24949.345024672915
2025-05-31,58561.1998904398,24894.709036694196
2025-06-30,20497.824592893947,24840.073048715476
2025-07-31,35136.345631406955,24785.437060736756
2025-08-31,29124.12574185044,24730.801072758037
2025-09-30,21732.862329567884,24676.16508477932
2025-10-31,18159.372252105757,24621.5290968006
2025-11-30,22973.145256342654,24566.89310882188
2025-12-31,22082.054968849767,24512.257120843162
